ID;case;format;generator matrix;class group;gd matrix;relations;relation degree;anticanonical class;degree;gorenstein index;fano index;dimension;picard rank;acr gd matrix;acr relations;hsNum;hsDenom;hs0;hs1;hs2;hs3;hs4;hs5;hs6;hs7;codim;genus
24;6;[2,1,1,1];[[-2,-1,7,0,0],[-2,-1,0,2,0],[-1,0,-2,1,1],[1,0,-3,0,0]];[0];[[6,2,2,7,3]];[T[1]^2*T[2]+T[3]^7+T[4]^2];[14];[6];6;1;1;3;1;[[1,1,1,1,1,1,2,2]];[T[6]*T[7]-T[4]*T[8],T[4]*T[7]-T[3]*T[8],T[3]*T[7]-T[2]*T[8],T[4]^2-T[3]*T[6],T[3]*T[4]-T[2]*T[6],T[3]^2-T[2]*T[4],T[2]^2*T[4]*T[5]+T[1]^2*T[5]*T[6]+T[8]^2,T[2]^2*T[3]*T[5]+T[1]^2*T[4]*T[5]+T[7]*T[8],T[2]^3*T[5]+T[1]^2*T[3]*T[5]+T[7]^2];1-3*t^2-t^3+3*t^4+3*t^5-t^6-3*t^7+t^9;(1-t)^6*(1-t^2)^2;1;6;20;49;99;176;286;435;4;4
25;4;[3,1,1,0];[[-5,-2,-1,3,0],[-5,-2,-1,0,2],[1,1,0,-2,1],[3,0,0,-1,0]];[0];[[2,1,6,6,9]];[T[1]^5*T[2]^2*T[3]+T[4]^3+T[5]^2];[18];[6];6;1;1;3;1;[[1,1,1,2,1,2,1,1]];[T[7]^2-T[5]*T[8],T[6]*T[7]-T[4]*T[8],T[5]*T[7]-T[3]*T[8],T[5]*T[6]-T[4]*T[7],T[5]^2-T[3]*T[7],T[4]*T[5]-T[3]*T[6],T[2]^3*T[8]+T[1]*T[3]*T[5]*T[8]+T[6]^2,T[2]^3*T[7]+T[1]*T[3]^2*T[8]+T[4]*T[6],T[2]^3*T[5]+T[1]*T[3]^2*T[7]+T[4]^2];1-3*t^2-t^3+3*t^4+3*t^5-t^6-3*t^7+t^9;(1-t)^6*(1-t^2)^2;1;6;20;49;99;176;286;435;4;4
26;4;[3,1,1,0];[[-4,-4,-1,3,0],[-4,-4,-1,0,2],[1,1,0,-2,1],[3,0,0,-1,0]];[0];[[2,1,6,6,9]];[T[1]^4*T[2]^4*T[3]+T[4]^3+T[5]^2];[18];[6];6;1;1;3;1;[[1,1,1,2,1,2,1,1]];[T[7]^2-T[5]*T[8],T[6]*T[7]-T[4]*T[8],T[5]*T[7]-T[3]*T[8],T[5]*T[6]-T[4]*T[7],T[5]^2-T[3]*T[7],T[4]*T[5]-T[3]*T[6],T[2]^3*T[8]+T[1]*T[3]*T[7]*T[8]+T[6]^2,T[2]^3*T[7]+T[1]*T[3]*T[5]*T[8]+T[4]*T[6],T[2]^3*T[5]+T[1]*T[3]^2*T[8]+T[4]^2];1-3*t^2-t^3+3*t^4+3*t^5-t^6-3*t^7+t^9;(1-t)^6*(1-t^2)^2;1;6;20;49;99;176;286;435;4;4
27;4;[3,1,1,0];[[-4,-2,-1,3,0],[-4,-2,-1,0,2],[0,1,0,-1,0],[3,0,0,-2,1]];[0];[[1,6,2,6,9]];[T[1]^4*T[2]^2*T[3]+T[4]^3+T[5]^2];[18];[6];6;1;1;3;1;[[1,1,1,2,1,2,1,1]];[T[7]^2-T[5]*T[8],T[6]*T[7]-T[4]*T[8],T[5]*T[7]-T[3]*T[8],T[5]*T[6]-T[4]*T[7],T[5]^2-T[3]*T[7],T[4]*T[5]-T[3]*T[6],T[2]^3*T[8]+T[1]^2*T[7]*T[8]+T[6]^2,T[2]^3*T[7]+T[1]^2*T[5]*T[8]+T[4]*T[6],T[2]^3*T[5]+T[1]^2*T[3]*T[8]+T[4]^2];1-3*t^2-t^3+3*t^4+3*t^5-t^6-3*t^7+t^9;(1-t)^6*(1-t^2)^2;1;6;20;49;99;176;286;435;4;4
28;4;[3,1,1,0];[[-3,-1,-1,3,0],[-3,-1,-1,0,2],[1,2,0,-2,0],[1,0,0,-2,1]];[0];[[2,3,3,4,6]];[T[1]^3*T[2]*T[3]+T[4]^3+T[5]^2];[12];[6];6;1;1;3;1;[[1,1,1,1,1,1]];[T[4]^2-T[3]*T[5],T[2]^3+T[1]^2*T[6]+T[4]*T[6]^2];1-t^2-t^3+t^5;(1-t)^6;1;6;20;49;99;176;286;435;2;4
29;4;[3,1,1,0];[[-2,-1,-1,7,0],[-2,-1,-1,0,2],[0,1,0,-1,0],[1,0,0,-5,1]];[0];[[3,2,6,2,7]];[T[1]^2*T[2]*T[3]+T[4]^7+T[5]^2];[14];[6];6;1;1;3;1;[[1,1,1,1,1,1,2,2]];[T[6]*T[7]-T[5]*T[8],T[5]*T[7]-T[4]*T[8],T[4]*T[7]-T[3]*T[8],T[5]^2-T[4]*T[6],T[4]*T[5]-T[3]*T[6],T[4]^2-T[3]*T[5],T[2]*T[3]^2*T[5]+T[1]*T[2]^2*T[6]+T[8]^2,T[2]*T[3]^2*T[4]+T[1]*T[2]^2*T[5]+T[7]*T[8],T[2]*T[3]^3+T[1]*T[2]^2*T[4]+T[7]^2];1-3*t^2-t^3+3*t^4+3*t^5-t^6-3*t^7+t^9;(1-t)^6*(1-t^2)^2;1;6;20;49;99;176;286;435;4;4
30;2;[2,2,1,1,0];[[-3,-1,1,1,0,0],[-3,-1,0,0,3,0],[-3,-1,0,0,0,2],[1,0,0,1,-2,0],[1,0,0,0,-2,1]];[0];[[1,3,3,3,2,3]];[T[1]^3*T[2]+T[3]*T[4]+T[5]^3,c[1]*T[3]*T[4]+T[5]^3+T[6]^2];[6];[3];6;1;1;3;1;[[1,1,1,1,1,1]];[T[2]*T[3]+T[4]^2-T[1]*T[6],T[5]^3-T[4]^2*T[6]+2*T[1]*T[6]^2];1-t^2-t^3+t^5;(1-t)^6;1;6;20;49;99;176;286;435;2;4
31;1;[2,2,1,0];[[-3,-1,3,1,0],[-3,-1,0,0,2],[0,-8,1,0,1],[-2,1,0,0,1]];[0];[[3,1,3,1,5]];[T[1]^3*T[2]+T[3]^3*T[4]+T[5]^2];[10];[3];6;1;1;3;1;[[1,1,2,2,1,1,1,1]];[T[7]^2-T[6]*T[8],T[6]*T[7]-T[5]*T[8],T[4]*T[7]-T[3]*T[8],T[6]^2-T[5]*T[7],T[4]*T[6]-T[3]*T[7],T[4]*T[5]-T[3]*T[6],T[2]^3*T[7]+T[1]^3*T[8]+T[4]^2,T[2]^3*T[6]+T[1]^3*T[7]+T[3]*T[4],T[2]^3*T[5]+T[1]^3*T[6]+T[3]^2];1-3*t^2-t^3+3*t^4+3*t^5-t^6-3*t^7+t^9;(1-t)^6*(1-t^2)^2;1;6;20;49;99;176;286;435;4;4
32;1;[2,2,1,0];[[-4,-1,2,2,0],[-4,-1,0,0,3],[1,0,1,1,-2],[1,0,0,1,-1]];[0];[[1,2,2,1,2]];[T[1]^4*T[2]+T[3]^2*T[4]^2+T[5]^3];[6];[2];6;1;1;3;1;[[1,1,1,1,1,1]];[T[5]^2-T[4]*T[6],T[3]^3+T[2]^2*T[4]+T[1]*T[6]^2];1-t^2-t^3+t^5;(1-t)^6;1;6;20;49;99;176;286;435;2;4
33;1;[2,2,1,0];[[-5,-1,2,1,0],[-5,-1,0,0,3],[-1,1,1,0,-1],[-2,0,0,0,1]];[0];[[1,1,2,2,2]];[T[1]^5*T[2]+T[3]^2*T[4]+T[5]^3];[6];[2];6;1;1;3;1;[[1,1,1,1,1,1]];[T[5]^2-T[4]*T[6],T[1]^2*T[2]+T[3]^3+T[5]*T[6]^2];1-t^2-t^3+t^5;(1-t)^6;1;6;20;49;99;176;286;435;2;4
